model_id,model_name,maker,release_date,created_at,last_modified,params_b,license,provider,api_model_id,api_model_id_raw,model_family,status,access,modality,context_window,notes,source_snapshot,model_origin,model_type_primary
anthropic:manual-claude,Claude,Anthropic,2023/3/14,2023-03-14T00:00:00Z,,,,anthropic,manual-claude,,claude1,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
anthropic:manual-claude-2,Claude 2,Anthropic,2023/7/11,2023-07-11T00:00:00Z,,,,anthropic,manual-claude-2,,claude2,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
anthropic:manual-claude-2-1,Claude 2.1,Anthropic,2023/11/21,2023-11-21T00:00:00Z,,,,anthropic,manual-claude-2-1,,claude2,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
anthropic:manual-claude-3-opus,Claude 3 Opus,Anthropic,2024/3/4,2024-03-04T00:00:00Z,,,,anthropic,manual-claude-3-opus,,claude3,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
anthropic:manual-claude-3-sonnet,Claude 3 Sonnet,Anthropic,2024/3/4,2024-03-04T00:00:00Z,,,,anthropic,manual-claude-3-sonnet,,claude3,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
anthropic:manual-claude-3-haiku,Claude 3 Haiku,Anthropic,2024/3/13,2024-03-13T00:00:00Z,,,,anthropic,manual-claude-3-haiku,,claude3,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
anthropic:manual-claude-3-5-sonnet,Claude 3.5 Sonnet,Anthropic,2024/6/20,2024-06-20T00:00:00Z,,,,anthropic,manual-claude-3-5-sonnet,,claude3.5,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
anthropic:manual-claude-3-5-haiku,Claude 3.5 Haiku,Anthropic,2024/10/22,2024-10-22T00:00:00Z,,,,anthropic,manual-claude-3-5-haiku,,claude3.5,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
anthropic:manual-claude-3-5-sonnet-new,Claude 3.5 Sonnet (new),Anthropic,2024/10/22,2024-10-22T00:00:00Z,,,,anthropic,manual-claude-3-5-sonnet-new,,claude3.5,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
anthropic:manual-claude-3-7-sonnet,Claude 3.7 Sonnet,Anthropic,2025/2/24,2025-02-24T00:00:00Z,,,,anthropic,manual-claude-3-7-sonnet,,claude3.7,discontinued,api-discontinued,,,Manual historical addition,manual_addition_2026-03-03,closed_source,frontier_closed
